source_mizo,reference_english,baseline_prediction
Mizoramah chuan buh hi an chaw rin pui ber a ni.,Rice is the main food in Mizoram.,"""In Mizoram, rice is their main food source."""
Hminga chuan thil thleng min hrilh.,Hminga told us what had happened.,Hminga told me about what happened.
Burqa hman hi an tihdan phung a nih vangin dikna chanvo pawh an nei.,"""Since wearing a Burqa is their tradition, they also have the right to do so.""",They also have the right to use Burqa because it is a violation of their law.
Bethlehem daia berÃ¢mpute hnÃªnah chuan vÃ¢ntirhkoh a inlÃ¢r a.,An angel appeared to the shepherds in the fields of Bethlehem.,The angel appeared to the shepherds in the fields of Bethlehem.
Eng lehkhabu nge i duh ber ti a an zawhna pawh The BIBLE tiin a chhang a ni.,"""As an author, he had his scribes write the perfect book - the Bible.""",The question is also about which book do you prefer? The Bible.
Chu chu Fadil-a thil tih a ni.,That's what Fadil did.,That's what Fadil did.
"""Puia leh Siami ten tih dan an hre lo a, chuvangin hmuh tir turin min ti.""","""Puia and Siami didn't know how to do that, so they asked me to show them how.""","""Puia and Siami didn't know how to do that, so they asked me to show them."""
Kum 22 mi Antony hian kum 2027 thleng daih contract a ziak.,The 22-year-old Antony signed a contract lasting until 2027.,22-year-old Antony signed a contract lasting until 2027.
BJP hian bial 110 chuhin bioal 74 an la a.,BJP contested 110 seats and won 74 seats.,BJP won 110 constituencies and won 74 constituencies.
"""Nangmah hi Mr. Ogawa i ni tiraw? """"Aw, ni e. Eng nge ka puih theihna che?""""""","""You're Mr. Ogawa, aren't you? """"Yes, I am. How can I help you?""""""","""You're Mr. Ogawa? """"Yes, he is. What can I do to help you?"""""""
"""Hey, Malsawma, ka hmu che chu ka lawm hle.""","""Hey, Malsawma, glad I caught you.""","""Hey, Malsawma, I'm glad to see you."""
Thuama chuan silai chu a dah thla a.,Thuama put the gun down.,Thuama dropped the gun.
Khuma-an Rini leh John an inhual a rin thu a sawi.,Khuma told me he thought Rini was engaged to John.,Khuma said that he thought that Rini and John were engaged.
David-an fakna tam tak a dawng.,David received a lot of compliments.,David received a lot of compliments.
Dama-an Mary tui bottle a pe.,Dama handed Mary a bottle of water.,Dama gave Mary a bottle of water.
Puia tihnat ka duh a.,I wanted to hurt Puia.,I wanted to hurt Puia.
"""Hnuchhamte hnenah tanpuina an pe a, North Sikkim lirnghing tuartute hnenah tanpuina an pe.""","""They gave aid to the orphans, and they gave aid to the earthquake victims of North Sikkim.""","""They gave aid to the orphans, and they gave aid to the victims of the North Sikkim earthquake."""
Nancy chu thian tam tak a neih avangin a hlim.,Nancy is happy in that she has many friends.,Nancy was happy because she had many friends.
Hruaia chu kan la rin ngam a ni.,Hruaia is still someone we can count on.,We still dare to trust Hruaia.
Khawvel huap football hotu a nihna angin FIFA chuan heng sumte hi neihlet leh tumin theihtawp a chhuah dawn.,"""As the global football governing body, FIFA will do its best to recover these funds.""","""As he is the global football leader, FIFA will do its best to get these money back."""
"""Heti hian Mizoram-a hri kai hmuh tawh zawng zawng chu 2,38,951 a tling tawh.""","""Thus, the total number of infected cases found in Mizoram has reached 2,38,951.""","""Thus, the total number of infected people found in Mizoram has reached 2,38,951."""
Indigo Airlines office pawh Malsawmzuala Ralte hian a tlawh a.,Malsawmzuala Ralte also visited the Indigo Airlines office.,Malsawmzuala Ralte also visited the Indigo Airlines office.
Sorkar laipui sawmna angin India ramah kan lut.,We entered India as per the invitation of the central government.,"""As invited by the central government, we entered India."""
"""Kharge chuan, Kan ramah democracy dinhmun a derthawng a ni.""","""Kharge said, The state of democracy in our country is precarious.""","""Kharge said, """"Democratic status is precarious in our state."""""""
French tawngin ka ziak thei ang em?,May I write it in French?,Can I write in French?
Chhinga Veng Under 18 tana khel tawh leh Chhinga Veng coach Remruata hnuaia inzir a ni.,He is someone who played for Chhinga Veng Under 18 and trained under Chhinga Veng coach Remruata.,He has played for Chhinga Veng Under 18 and studied under Chhinga Veng coach Remruata.
Sanga a thinrim vak lo.,Sanga wasn't very annoyed by that.,Sanga isn't very angry.
Banner pakhat zawkah chuan Huaisen taka ngaihdam dil ngam Pu Lalduhoma hi ropui kan ti.,"""One of the banners read, """"We admire Pu Lalduhoma who bravely dared to apologize.""""""","""In one of the banners, we consider Pu Lalduhoma, who dares to apologize bravely, to be great."""
Greece hi ram nuam tak a ni.,Greece is a lovely country.,Greece is a very pleasant country.
"""Pahnihna Mizoram niin, pathumna Manipur a ni.""","""Mizoram is second, and Manipur is third.""","""It is Mizoram second, and Manipur third."""
Ti turin Nunpuia a remti lo ang tih ka hria.,I knew Nunpuia would unlikely agree to do that.,I knew Nunpuia wouldn't agree to do that.
Rina leh Thari an zo tawh.,Rina and Thari are through here.,Rina and Thari are done.
Striker mal tlat tur chu Chite Veng rawlthar Lalbiaknia a ni.,The one to play as the lone striker is the Chite Veng youngster Lalbiaknia.,The one to stand firmly as a striker is the youngster Lalbiaknia of Chite Veng.
Asom Gana Parishad chuan vaibelchhe 1.08 donation aá¹­ang hian a hmu ve bawk.,Asom Gana Parishad also received 1.08 crores from this donation.,Asom Gana Parishad also received 1.08 crores from donations.
Newcastle lakah an tlawm vangin Arsenal hi pathumnaah an tlahniam.,"""Because they lost to Newcastle, Arsenal dropped to third place.""","""Because they lost to Newcastle, Arsenal dropped to third place."""
Muana chuan pension nan engmah a khawl lo.,Muana has not saved anything for retirement.,Muana didn't offer anything for the pension.
"""Ruata khan Mawii mangtha nan fawh a tum a. Mahse, Mawii a tawlh hnung.""","""Ruata wanted to give Mawii a goodbye kiss. However, she backed away.""","""Ruata tried to kiss Mawii goodbye. However, Mawii held back."""
"""Selna anka leng vel karah Rev. Owen, sualna do let tura pawl ropui tak, Ká¹¬P ilo din hi i tisual mawlh lo e.""","""Amidst the circulating criticisms, Rev. Owen, you certainly did not make a mistake in establishing the Ká¹¬P, a great group to fight against sin.""","""Amidst the dispersion around them, Rev. Owen, a great organization to fight back against sin, the Ká1¬P clan, is absolutely not wrong."""
Asian ram zingah hetiang tithei hmasa ber an ni nghe nghe.,"""They are, in fact, the first among Asian countries to be able to do this.""","""Among Asian countries, they are actually the first to achieve this."""
Dama'n Mary a nghak a.,Dama was waiting for Mary then.,Dama was waiting for Mary.
Reds fans tan hriat a nuam lo ang.,It will not be pleasant news for Reds fans.,It won't be pleasant for the Reds fans to know.
Muana chuan Thari chu Lady Gaga concert-a a hma lama á¹­hutna ngaihtuah turin a ngen.,Muana asked Thari to see about getting front row seats at the Lady Gaga concert.,Muana asked Thari to consider sitting in front of the Lady Gaga concert.
Biaka chuan Thari a vau tan.,Biaka began threatening Thari.,Biaka started threatening Thari.
